28, 0, 20
29, 0, 20
30, 0, 20
31, 0, 20
32, 0, 20
33, 0, 20
34, 0, 20
35, 0, 20
28, 0, 21
29, 0, 21
30, 0, 21
31, 0, 21
32, 0, 21
33, 0, 21
34, 0, 21
35, 0, 21
24, 0, 22
25, 0, 22
26, 0, 22
27, 0, 22
28, 0, 22
29, 0, 22
30, 0, 22
31, 0, 22
32, 0, 22
33, 0, 22
34, 0, 22
35, 0, 22
36, 0, 22
37, 0, 22
38, 0, 22
39, 0, 22
24, 0, 23
25, 0, 23
26, 0, 23
27, 0, 23
28, 0, 23
29, 0, 23
30, 0, 23
31, 0, 23
32, 0, 23
33, 0, 23
34, 0, 23
35, 0, 23
36, 0, 23
37, 0, 23
38, 0, 23
39, 0, 23
22, 0, 24
23, 0, 24
24, 0, 24
25, 0, 24
26, 0, 24
27, 0, 24
28, 0, 24
29, 0, 24
30, 0, 24
31, 0, 24
32, 0, 24
33, 0, 24
34, 0, 24
35, 0, 24
36, 0, 24
37, 0, 24
38, 0, 24
39, 0, 24
40, 0, 24
41, 0, 24
22, 0, 25
23, 0, 25
24, 0, 25
25, 0, 25
26, 0, 25
27, 0, 25
28, 0, 25
29, 0, 25
30, 0, 25
31, 0, 25
32, 0, 25
33, 0, 25
34, 0, 25
35, 0, 25
36, 0, 25
37, 0, 25
38, 0, 25
39, 0, 25
40, 0, 25
41, 0, 25
22, 0, 26
23, 0, 26
24, 0, 26
25, 0, 26
26, 0, 26
27, 0, 26
28, 0, 26
29, 0, 26
30, 0, 26
31, 0, 26
32, 0, 26
33, 0, 26
34, 0, 26
35, 0, 26
36, 0, 26
37, 0, 26
38, 0, 26
39, 0, 26
40, 0, 26
41, 0, 26
22, 0, 27
23, 0, 27
24, 0, 27
25, 0, 27
26, 0, 27
27, 0, 27
28, 0, 27
29, 0, 27
30, 0, 27
31, 0, 27
32, 0, 27
33, 0, 27
34, 0, 27
35, 0, 27
36, 0, 27
37, 0, 27
38, 0, 27
39, 0, 27
40, 0, 27
41, 0, 27
20, 0, 28
21, 0, 28
22, 0, 28
23, 0, 28
24, 0, 28
25, 0, 28
26, 0, 28
27, 0, 28
28, 0, 28
29, 0, 28
30, 0, 28
31, 0, 28
32, 0, 28
33, 0, 28
34, 0, 28
35, 0, 28
36, 0, 28
37, 0, 28
38, 0, 28
39, 0, 28
40, 0, 28
41, 0, 28
42, 0, 28
43, 0, 28
20, 0, 29
21, 0, 29
22, 0, 29
23, 0, 29
24, 0, 29
25, 0, 29
26, 0, 29
27, 0, 29
28, 0, 29
29, 0, 29
30, 0, 29
31, 0, 29
32, 0, 29
33, 0, 29
34, 0, 29
35, 0, 29
36, 0, 29
37, 0, 29
38, 0, 29
39, 0, 29
40, 0, 29
41, 0, 29
42, 0, 29
43, 0, 29
20, 0, 30
21, 0, 30
22, 0, 30
23, 0, 30
24, 0, 30
25, 0, 30
26, 0, 30
27, 0, 30
28, 0, 30
29, 0, 30
30, 0, 30
31, 0, 30
32, 0, 30
33, 0, 30
34, 0, 30
35, 0, 30
36, 0, 30
37, 0, 30
38, 0, 30
39, 0, 30
40, 0, 30
41, 0, 30
42, 0, 30
43, 0, 30
20, 0, 31
21, 0, 31
22, 0, 31
23, 0, 31
24, 0, 31
25, 0, 31
26, 0, 31
27, 0, 31
28, 0, 31
29, 0, 31
30, 0, 31
31, 0, 31
32, 0, 31
33, 0, 31
34, 0, 31
35, 0, 31
36, 0, 31
37, 0, 31
38, 0, 31
39, 0, 31
40, 0, 31
41, 0, 31
42, 0, 31
43, 0, 31
20, 0, 32
21, 0, 32
22, 0, 32
23, 0, 32
24, 0, 32
25, 0, 32
26, 0, 32
27, 0, 32
28, 0, 32
29, 0, 32
30, 0, 32
31, 0, 32
32, 0, 32
33, 0, 32
34, 0, 32
35, 0, 32
